schedule_code,collection_date,program_code_array
WB,18/12/2015,R;O
WB,19/12/2015,
WB,20/12/2015,
WB,21/12/2015,L;O;S
WB,22/12/2015,L;O;S
WB,23/12/2015,L;O;S
WB,24/12/2015,L;O;S
WB,25/12/2015,
WB,26/12/2015,L;O;S
WB,27/12/2015,
WB,28/12/2015,R;O
WB,29/12/2015,R;O
WB,30/12/2015,R;O
WB,31/12/2015,R;O
WZ,01/01/2015,
WZ,02/01/2015,L;O;S;R
WZ,03/01/2015,L;O;S;R
WZ,04/01/2015,
WZ,05/01/2015,L;O;S;R
WZ,06/01/2015,L;O;S;R
WZ,07/01/2015,L;O;S;R
WZ,08/01/2015,L;O;S;R
WZ,09/01/2015,L;O;S;R
WZ,10/01/2015,
WZ,11/01/2015,
WZ,12/01/2015,L;O;S;R
WZ,13/01/2015,L;O;S;R
WZ,14/01/2015,L;O;S;R
WZ,15/01/2015,L;O;S;R
WZ,16/01/2015,L;O;S;R
WZ,17/01/2015,
WZ,18/01/2015,
WZ,19/01/2015,L;O;S;R
WZ,20/01/2015,L;O;S;R
WZ,21/01/2015,L;O;S;R
WZ,22/01/2015,L;O;S;R
WZ,23/01/2015,L;O;S;R
WZ,24/01/2015,
WZ,25/01/2015,
WZ,26/01/2015,L;O;S;R
WZ,27/01/2015,L;O;S;R
WZ,28/01/2015,L;O;S;R
WZ,29/01/2015,L;O;S;R
WZ,30/01/2015,L;O;S;R
WZ,31/01/2015,
WZ,01/02/2015,
WZ,02/02/2015,L;O;S;R
WZ,03/02/2015,L;O;S;R
WZ,04/02/2015,L;O;S;R
WZ,05/02/2015,L;O;S;R
WZ,06/02/2015,L;O;S;R
WZ,07/02/2015,
WZ,08/02/2015,
WZ,09/02/2015,L;O;S;R
WZ,10/02/2015,L;O;S;R
WZ,11/02/2015,L;O;S;R
WZ,12/02/2015,L;O;S;R
WZ,13/02/2015,L;O;S;R
WZ,14/02/2015,
WZ,15/02/2015,
WZ,16/02/2015,
WZ,17/02/2015,L;O;S;R
WZ,18/02/2015,L;O;S;R
WZ,19/02/2015,L;O;S;R
WZ,20/02/2015,L;O;S;R
WZ,21/02/2015,L;O;S;R
WZ,22/02/2015,
WZ,23/02/2015,L;O;S;R
WZ,24/02/2015,L;O;S;R
WZ,25/02/2015,L;O;S;R
WZ,26/02/2015,L;O;S;R
WZ,27/02/2015,L;O;S;R
WZ,28/02/2015,
WZ,01/03/2015,
WZ,02/03/2015,L;O;S;R
WZ,03/03/2015,L;O;S;R
WZ,04/03/2015,L;O;S;R
WZ,05/03/2015,L;O;S;R
WZ,06/03/2015,L;O;S;R
WZ,07/03/2015,
WZ,08/03/2015,
WZ,09/03/2015,L;O;S;R
WZ,10/03/2015,L;O;S;R
WZ,11/03/2015,L;O;S;R
WZ,12/03/2015,L;O;S;R
WZ,13/03/2015,L;O;S;R
WZ,14/03/2015,
WZ,15/03/2015,
WZ,16/03/2015,L;O;S;R
WZ,17/03/2015,L;O;S;R
WZ,18/03/2015,L;O;S;R
WZ,19/03/2015,L;O;S;R
WZ,20/03/2015,L;O;S;R
WZ,21/03/2015,
WZ,22/03/2015,
WZ,23/03/2015,L;O;S;R
WZ,24/03/2015,L;O;S;R
WZ,25/03/2015,L;O;S;R
WZ,26/03/2015,L;O;S;R
WZ,27/03/2015,L;O;S;R
WZ,28/03/2015,
WZ,29/03/2015,
WZ,30/03/2015,L;O;S;R
WZ,31/03/2015,L;O;S;R
WZ,01/04/2015,L;O;S;R
WZ,02/04/2015,L;O;S;R
WZ,03/04/2015,
WZ,04/04/2015,L;O;S;R
WZ,05/04/2015,
WZ,06/04/2015,L;O;S;R
WZ,07/04/2015,L;O;S;R
WZ,08/04/2015,L;O;S;R
WZ,09/04/2015,L;O;S;R
WZ,10/04/2015,L;O;S;R
WZ,11/04/2015,
WZ,12/04/2015,
WZ,13/04/2015,L;O;S;R
WZ,14/04/2015,L;O;S;R
WZ,15/04/2015,L;O;S;R
WZ,16/04/2015,L;O;S;R
WZ,17/04/2015,L;O;S;R
WZ,18/04/2015,
WZ,19/04/2015,
WZ,20/04/2015,L;O;S;R
WZ,21/04/2015,L;O;S;R
WZ,22/04/2015,L;O;S;R
WZ,23/04/2015,L;O;S;R
WZ,24/04/2015,L;O;S;R
WZ,25/04/2015,
WZ,26/04/2015,
WZ,27/04/2015,L;O;S;R
WZ,28/04/2015,L;O;S;R
WZ,29/04/2015,L;O;S;R
WZ,30/04/2015,L;O;S;R
WZ,01/05/2015,L;O;S;R
WZ,02/05/2015,
WZ,03/05/2015,
WZ,04/05/2015,L;O;S;R
WZ,05/05/2015,L;O;S;R
WZ,06/05/2015,L;O;S;R
WZ,07/05/2015,L;O;S;R
WZ,08/05/2015,L;O;S;R
WZ,09/05/2015,
WZ,10/05/2015,
WZ,11/05/2015,L;O;S;R
WZ,12/05/2015,L;O;S;R
WZ,13/05/2015,L;O;S;R
WZ,14/05/2015,L;O;S;R
WZ,15/05/2015,L;O;S;R
WZ,16/05/2015,
WZ,17/05/2015,
WZ,18/05/2015,
WZ,19/05/2015,L;O;S;R
WZ,20/05/2015,L;O;S;R
WZ,21/05/2015,L;O;S;R
WZ,22/05/2015,L;O;S;R
WZ,23/05/2015,L;O;S;R
WZ,24/05/2015,
WZ,25/05/2015,L;O;S;R
WZ,26/05/2015,L;O;S;R
WZ,27/05/2015,L;O;S;R
WZ,28/05/2015,L;O;S;R
WZ,29/05/2015,L;O;S;R
WZ,30/05/2015,
WZ,31/05/2015,
WZ,01/06/2015,L;O;S;R
WZ,02/06/2015,L;O;S;R
WZ,03/06/2015,L;O;S;R
WZ,04/06/2015,L;O;S;R
WZ,05/06/2015,L;O;S;R
WZ,06/06/2015,
WZ,07/06/2015,
WZ,08/06/2015,L;O;S;R
WZ,09/06/2015,L;O;S;R
WZ,10/06/2015,L;O;S;R
WZ,11/06/2015,L;O;S;R
WZ,12/06/2015,L;O;S;R
WZ,13/06/2015,
WZ,14/06/2015,
WZ,15/06/2015,L;O;S;R
WZ,16/06/2015,L;O;S;R
WZ,17/06/2015,L;O;S;R
WZ,18/06/2015,L;O;S;R
WZ,19/06/2015,L;O;S;R
WZ,20/06/2015,
WZ,21/06/2015,
WZ,22/06/2015,L;O;S;R
WZ,23/06/2015,L;O;S;R
WZ,24/06/2015,L;O;S;R
WZ,25/06/2015,L;O;S;R
WZ,26/06/2015,L;O;S;R
WZ,27/06/2015,
WZ,28/06/2015,
WZ,29/06/2015,L;O;S;R
WZ,30/06/2015,L;O;S;R
WZ,01/07/2015,
WZ,02/07/2015,L;O;S;R
WZ,03/07/2015,L;O;S;R
WZ,04/07/2015,L;O;S;R
WZ,05/07/2015,
WZ,06/07/2015,L;O;S;R
WZ,07/07/2015,L;O;S;R
WZ,08/07/2015,L;O;S;R
WZ,09/07/2015,L;O;S;R
WZ,10/07/2015,L;O;S;R
WZ,11/07/2015,
WZ,12/07/2015,
WZ,13/07/2015,L;O;S;R
WZ,14/07/2015,L;O;S;R
WZ,15/07/2015,L;O;S;R
WZ,16/07/2015,L;O;S;R
WZ,17/07/2015,L;O;S;R
WZ,18/07/2015,
WZ,19/07/2015,
WZ,20/07/2015,L;O;S;R
WZ,21/07/2015,L;O;S;R
WZ,22/07/2015,L;O;S;R
WZ,23/07/2015,L;O;S;R
WZ,24/07/2015,L;O;S;R
WZ,25/07/2015,
WZ,26/07/2015,
WZ,27/07/2015,L;O;S;R
WZ,28/07/2015,L;O;S;R
WZ,29/07/2015,L;O;S;R
WZ,30/07/2015,L;O;S;R
WZ,31/07/2015,L;O;S;R
WZ,01/08/2015,
WZ,02/08/2015,
WZ,03/08/2015,
WZ,04/08/2015,L;O;S;R
WZ,05/08/2015,L;O;S;R
WZ,06/08/2015,L;O;S;R
WZ,07/08/2015,L;O;S;R
WZ,08/08/2015,L;O;S;R
WZ,09/08/2015,
WZ,10/08/2015,L;O;S;R
WZ,11/08/2015,L;O;S;R
